timecode	yday	degC	Pa	pressAltComp
1530531414	182	20.7	101294	2.664488880599981
1530531914	182	20.7	101291	2.664488880599981
1530532414	182	20.7	101298	2.7477651398462752
1530532914	182	20.7	101307	1.6652256894485218
1530533414	182	20.6	101307	2.1648453040301696
1530533914	182	20.6	101297	2.1648453040301696
1530534414	182	20.6	101311	1.4986911423646188
1530534914	182	20.5	101317	0.41628146983422876
1530535414	182	20.6	101325	0.08325496331864968
1530535914	182	20.5	101324	0.6660583359733774
1530536414	182	20.5	101324	-0.16650793074375114
1530536914	182	20.5	101314	0.41628146983422876
1530537414	182	20.5	101306	0.8325795736961727
1530537914	182	20.4	101306	0.6660583359733774
1530538414	182	20.4	101305	1.8317628986901002
1530538914	182	20.4	101295	2.7477651398462752
1530539414	182	20.4	101305	1.8317628986901002
1530539914	182	20.4	101292	2.664488880599981
1530540414	182	20.4	101325	0.08325496331864968
1530540914	182	20.4	101326	-0.3330132003682884
1530541414	182	20.4	101333	-1.165499635157743
1530541914	182	20.4	101333	-1.165499635157743
1530542414	182	20.3	101343	-2.1643955600689524
1530542914	182	20.3	101346	-1.9979195563970364
1530543414	182	20.3	101357	-2.747040626270447
1530543914	182	20.3	101361	-2.663807611633726
1530544414	182	20.3	101372	-4.411561303648619
1530544914	182	20.3	101372	-4.328341584961595
1530545414	182	20.3	101365	-2.996735680755891
1530545914	182	20.3	101382	-4.6612164717417714
1530546414	182	20.3	101375	-4.078678440725893
1530546914	182	20.3	101378	-4.161900153505154
1530547414	182	20.2	101374	-3.8290093140166204
1530547914	182	20.2	101362	-3.5793342045089482
1530548414	182	20.2	101368	-3.6625599057876634
1530548914	182	20.2	101361	-3.0799660358187864
1530549414	182	20.2	101366	-3.246424751370023
1530549914	182	20.2	101372	-4.078678440725893
1530550414	182	20.2	101365	-3.6625599057876634
1530550914	182	20.2	101375	-4.411561303648619
1530551414	182	20.2	101371	-3.912233020996392
1530551914	182	20.2	101369	-3.995456063222973
1530552414	182	20.2	101374	-3.912233020996392
1530552914	182	20.2	101368	-3.412880807573828
1530553414	182	20.3	101372	-3.6625599057876634
1530553914	182	20.2	101372	-3.8290093140166204
1530554414	182	20.2	101364	-2.996735680755891
1530554914	182	20.3	101365	-3.8290093140166204
1530555414	182	20.2	101379	-3.912233020996392
1530555914	182	20.3	101382	-4.910865658099595
1530556414	182	20.3	101387	-5.576567580139691
1530556914	182	20.3	101388	-4.910865658099595
1530557414	182	20.3	101388	-5.160508863046916
1530557914	182	20.3	101397	-5.742986415352227
1530558414	182	20.3	101392	-5.576567580139691
1530558914	182	20.4	101391	-5.576567580139691
1530559414	182	20.4	101390	-5.4933571657826015
1530559914	182	20.4	101388	-5.4933571657826015
1530560414	182	20.4	101381	-4.411561303648619
1530560914	182	20.4	101377	-4.328341584961595
1530561414	182	20.4	101373	-4.078678440725893
1530561914	182	20.4	101384	-4.328341584961595
1530562414	182	20.4	101370	-4.994080724331276
1530562914	182	20.3	101384	-4.328341584961595
1530563414	182	20.3	101358	-3.5793342045089482
1530563914	182	20.3	101364	-3.6625599057876634
1530564414	182	20.2	101350	-2.0811578907424733
1530564914	182	20.2	101355	-2.0811578907424733
1530565414	182	20.2	101339	-1.7482005632371367
1530565914	182	20.2	101336	-0.749264732690107
1530566414	182	20.2	101332	-0.666015756663294
1530566914	182	20.2	101339	-1.4984755846113207
1530567414	182	20.2	101344	-2.0811578907424733
1530567914	182	20.2	101340	-2.0811578907424733
1530568414	182	20.3	101327	-0.8325130435306272
1530568914	182	20.2	101332	-0.5827661154305019
1530569414	182	20.2	101319	0.41628146983422876
1530569914	182	20.3	101315	0.24976688590363505
1530570414	182	20.3	101313	0.9991034731041681
1530570914	182	20.3	101304	1.0823664209665695
1530571414	182	20.3	101304	2.0815737043115847
1530571914	182	20.3	101297	2.581213287037063
1530572414	182	20.3	101304	1.3321592573399588
1530572914	182	20.4	101308	1.8317628986901002
